_id,minimumDepthInMeters,dynamicProperties,verbatimLatitude,month,continent,occurrenceID,latestEpochOrHighestSeries,maximumDepthInMeters,waterBody,kingdom,decimalLatitude,earliestEraOrLowestErathem,infraspecificEpithet,latestEraOrHighestErathem,recordNumber,day,individualCount,lifeStage,scientificName,lowestBiostratigraphicZone,habitat,sex,year,eventTime,latestEonOrHighestEonothem,otherCatalogNumbers,latestPeriodOrHighestSystem,specificEpithet,geodeticDatum,collectionCode,higherGeography,latestAgeOrHighestStage,formation,earliestEpochOrLowestSeries,group,highestBiostratigraphicZone,earliestAgeOrLowestStage,country,decimalLongitude,genus,family,phylum,higherClassification,islandGroup,catalogNumber,verbatimLongitude,preparations,maximumElevationInMeters,earliestEonOrLowestEonothem,modified,bed,island,minimumElevationInMeters,subgenus,institutionCode,identificationQualifier,identifiedBy,earliestPeriodOrLowestSystem,georeferenceProtocol,locality,stateProvince,member,taxonRank,typeStatus,recordedBy,class,basisOfRecord,dateIdentified,scientificNameAuthorship,order
1765042,,"{""recordtype"": ""Specimen"", ""gbifissue"": ""GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK"", ""created"": ""2015-07-21"", ""gbifid"": 1265630232, ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Lysandra bellargus ab. disco-elongata Courvoisier, 1911""]}, ""preservative"": ""Dry - mounted""}",50 58 26 N,09,Europe,0021fc53-f2ed-4e63-85a8-798ee19fe6fd,,,,,50.9739,,,,,02,,,"Lysandra bellargus ab. disco-elongata Courvoisier, 1911",,,,1940,,,NHMUK:ecatalogue:5706573,,bellargus,,BMNH(E),Europe; United Kingdom; England; Sussex,,,,,,,United Kingdom,-0.0443,Lysandra,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Papilionoidea; Lycaenidae,,BMNH(E)1362375,000 02 39 W,,,,2015-08-13,,,,,NHMUK,,,,,,England,,,,J.N.M.; J.N.M.,Insecta,Specimen,,"Courvoisier, 1911",Lepidoptera
1775641,,"{""recordtype"": ""Specimen"", ""gbifissue"": ""GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK"", ""created"": ""2015-07-21"", ""gbifid"": 1265640628, ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Pyrgus malvae ab. scabellata Reverdin, 1910""]}, ""preservative"": ""Dry - mounted""}",51 36 01 N,05,Europe,0011bc71-0b7b-4bff-a50d-b477331c2c42,,,,,51.6004,,,,,23,,,"Pyrgus malvae ab. scabellata Reverdin, 1910",,,,1917,,,NHMUK:ecatalogue:5705801,,malvae,,BMNH(E),Europe; United Kingdom; England; Essex; Hockley,,,,,,,United Kingdom,0.6464,Pyrgus,Hesperiidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Hesperiidae; Pyrginae,,BMNH(E)1122382,000 38 47 E,,,,2015-08-13,,,,,NHMUK,,,,,,England,,,,,Insecta,Specimen,,"Reverdin, 1910",Lepidoptera
3149707,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-20"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Aglais urticae (Linnaeus, 1758)""]}, ""preservative"": ""Dry - mounted""}",51 16 21 N,07,Europe,0013196c-ed50-4d6e-9524-ee39a74d48d3,,,,,51.2724,,,,,14,,,"Aglais urticae (Linnaeus, 1758)",,,,1946,,,NHMUK:ecatalogue:5697181,,urticae,,BMNH(E),Europe; United Kingdom; England; Kent; Sevenoaks,,,,,,,United Kingdom,0.1909,Aglais,Nymphalidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Papilionoidea; Nymphalidae; Nymphalinae,,BMNH(E)1063790,000 11 27 E,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,P L. Walshe; Walshe,Insecta,Specimen,,"(Linnaeus, 1758)",Lepidoptera
3098841,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-17"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Carterocephalus palaemon (Pallas, 1771)""]}, ""preservative"": ""Dry - mounted""}",52 19 56 N,05,Europe,001bdf3d-4b7e-48eb-9517-311854f72e39,,,,,52.3322,,,,,22,,,"Carterocephalus palaemon (Pallas, 1771)",,,,1938,,,NHMUK:ecatalogue:5669456,,palaemon,,BMNH(E),Europe; United Kingdom; England; Northamptonshire,,,,,,,United Kingdom,-0.8207,Carterocephalus,Hesperiidae,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Heteropterinae,,BMNH(E)1380987,000 49 15 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,N A Watkins; Watkins,Insecta,Specimen,,"(Pallas, 1771)",Lepidoptera
3070152,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-13"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Coenonympha pamphilus (Linnaeus, 1758)""]}, ""preservative"": ""Dry - mounted""}",51 32 48 N,08,Europe,000ad7cf-ac1e-460c-8f53-2d2afff70f21,,,,,51.5466,,,,,20,,,"Coenonympha pamphilus (Linnaeus, 1758)",,,,1969,,,NHMUK:ecatalogue:5617856,,pamphilus,,BMNH(E),Europe; United Kingdom; England; Buckinghamshire; Black Park,,,,,,,United Kingdom,-0.5418,Coenonympha,Nymphalidae,,Insecta; Lepidoptera; Papilionoidea; Nymphalidae; Satyrinae,,BMNH(E)1338720,000 32 30 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,D McNamara; McNamara,Insecta,Specimen,,"(Linnaeus, 1758)",Lepidoptera
3124033,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-15"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Cupido minimus (Fuessly, 1775)""]}, ""preservative"": ""Dry - mounted""}",50 46 05 N,06,Europe,0006147f-03fc-499b-b549-4919b0420319,,,,,50.768,,,,,04,,,"Cupido minimus (Fuessly, 1775)",,,,1950,,,NHMUK:ecatalogue:5645395,,minimus,,BMNH(E),Europe; United Kingdom; England; East Sussex; Eastbourne,,,,,,,United Kingdom,0.2905,Cupido,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Lycaenidae; Lycaeninae,,BMNH(E)1352348,000 17 26 E,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,A S. Wheeler; Wheeler,Insecta,Specimen,,"(Fuessly, 1775)",Lepidoptera
3056320,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-20"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Lysandra coridon (Poda, 1761)""]}, ""preservative"": ""Dry - mounted""}",51 14 47 N,,Europe,000a3cfb-bbee-42cb-86ea-372acb417e15,,,,,51.2463,,,,,,,,"Lysandra coridon (Poda, 1761)",,,,1950,,,NHMUK:ecatalogue:5684614,,coridon,,BMNH(E),Europe; United Kingdom; England; Wiltshire,,,,,,,United Kingdom,-1.9922,Lysandra,Lycaenidae,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Subfamily unassigned,,BMNH(E)1152709,001 59 32 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,R Pitman; Pitman,Insecta,Specimen,,"(Poda, 1761)",Lepidoptera
3045958,,"{""recordtype"": ""Specimen"", ""created"": ""2014-02-26"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Euphydryas aurinia (Rottemberg, 1775)""]}, ""preservative"": ""Dry - mounted""}",,,,00081275-0aac-4610-97c8-bd6cdb93a5de,,,,,,,,,,,,,"Euphydryas aurinia (Rottemberg, 1775)",,,,,,,NHMUK:ecatalogue:3030963,,aurinia,,BMNH(E),,,,,,,,,,Euphydryas,Nymphalidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Nymphalidae; Nymphalinae,,BMNH(E)1084096,,,,,2016-06-16,,,,,NHMUK,,,,,,,,,,,Insecta,Specimen,,"(Rottemberg, 1775)",Lepidoptera
3158875,,"{""recordtype"": ""Specimen"", ""created"": ""2014-02-27"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Pyronia tithonus britanniae (Verity, 1914)""]}, ""preservative"": ""Dry - mounted""}",51 47 46 N,07,Europe,000fa377-8a89-449c-adf1-8323c9c3c220,,,,,51.7961,,britanniae,,,28,,,"Pyronia tithonus britanniae (Verity, 1914)",,,,1950,,,NHMUK:ecatalogue:3053236,,tithonus,,BMNH(E),Europe; United Kingdom; England; Hertfordshire; Tring,,,,,,,United Kingdom,-0.6559,Pyronia,Nymphalidae,,Insecta; Lepidoptera; Papilionoidea; Nymphalidae; Satyrinae,,BMNH(E)1090440,000 39 21 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,Goodson; Goodson,Insecta,Specimen,,"(Verity, 1914)",Lepidoptera
3113121,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-14"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Thymelicus lineola (Ochsenheimer, 1808)""]}, ""preservative"": ""Dry - mounted""}",51 18 24 N,07,Europe,00192045-ca43-4f6c-9f34-fa84da8707f9,,,,,51.3067,,,,,03,,,"Thymelicus lineola (Ochsenheimer, 1808)",,,,1947,,,NHMUK:ecatalogue:5628831,,lineola,,BMNH(E),Europe; United Kingdom; England; Kent; Blean,,,,,,,United Kingdom,1.0429,Thymelicus,Hesperiidae,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Hesperiinae,,BMNH(E)1353747,001 02 34 E,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,A S. Wheeler; Wheeler,Insecta,Specimen,,"(Ochsenheimer, 1808)",Lepidoptera
